Reference,Polling Districts,Polling Place,Y/N
A1-1,A1,"William Torbitt Primary School, Eastern Avenue, Ilford , IG2 7SS",Y
A1-2,A1,"William Torbitt Primary School, Eastern Avenue, Ilford , IG2 7SS",Y
A2 -3,A2,"Queen Victoria House, 794 Cranbrook Road, Barkingside, IG6 1JS",Y
A3 -4,A3,"Newbury Park Primary School, Perrymans Farm Road, Ilford, IG2 7LB",Y
A4 -5,A4,"Ashurst Drive Baptist Church Hall, Ashurst Drive, Ilford, IG2 6QH",Y
BA1 -6,BA1,"Gants Hill United Reformed Church Hall, Woodford Avenue, IG2 6UH",
BA2 -7,BA2,"St Augustine`s Catholic Primary School, Loudoun Avenue, IG2 6RG",
BA3 -8,BA3,"Gearies Primary School, Waremead Road, IG2 6TF",
BA3 -9,BA3,"Gearies Primary School, Waremead Road, IG2 6TF",
BA4 -10,BA4,"Fullwood Primary School, Burford Close, Ilford, IG6 1ER",Y
BA5 -11,BA5,"Fullwood Primary School, Burford Close, Ilford, IG6 1ER",Y
BR1 -12,BR1,"Roding Primary School, Roding Lane North, Woodford Green, IG8 8NP",
BR1 -13,BR1,"Roding Primary School, Roding Lane North, Woodford Green, IG8 8NP",
BR2 -14,BR2,"Ray Lodge Primary School, Snakes Lane East, Woodford Green, IG8 7JQ",
BR2/5 -15,"BR2, BR5","Ray Lodge Primary School, Snakes Lane East, Woodford Green, IG8 7JQ",
BR3 -16,BR3,"Bancroft R.F.C Clubhouse, Buckhurst Way, Buckhurst Hill, IG9 6JD",
BR4 -17,BR4,"Minibus at Junction of, Regents Drive and Clarence Gate, IG8 8GQ",
C1 -24,CH1,"St Bede`s Church Hall, Bishops Avenue, RM6 5RS",
C1 -25,CH1,"St Bede`s Church Hall, Bishops Avenue, RM6 5RS",
C2 -26,CH2,"Chadwell Primary School, High Road, Romford, RM6 4EU",
C2-27,CH2,"Chadwell Primary School, High Road, Romford, RM6 4EU",
C3 -28,"CH3, CH4","Grove Primary School, Chadwell Heath Lane, Romford, RM6 4XS",
C3/4/5 -29,"CH3, CH4, CH5","Grove Primary School, Chadwell Heath Lane, Romford, RM6 4XS",
CF1 -18,CF1,"Woodbridge High School, (Entrance in Mallards Road), St.Barnabas Road, IG8 7DQ",
CF2 -19,CF2,"Churchfields Junior School, Churchfields, South Woodford, E18 2RB",
CF2 -20,CF2,"Churchfields Junior School, Churchfields, South Woodford, E18 2RB",
CF3 -21,CF3,"Woodford Methodist, Church Hall, Derby Road, E18 2PU",
CF4 -22,CF4,"Sir James Hawkey Hall, Broomhill Road, Woodford Green, IG8 0BG",
